timestep,rows_captured,unique_videos_captured,total_view_count,new_view_count,seconds_since_start
2026-03-07 00:12:00+00:00,1,1,0,0.0,0.0
2026-03-07 00:12:30+00:00,1,1,2,2.0,30.0
2026-03-07 00:13:00+00:00,2,2,23,21.0,60.0
2026-03-07 00:13:30+00:00,3,3,42,19.0,90.0
2026-03-07 00:14:00+00:00,3,3,48,6.0,120.0
2026-03-07 00:14:30+00:00,3,3,109,61.0,150.0
2026-03-07 00:15:00+00:00,3,3,131,22.0,180.0
2026-03-07 00:15:30+00:00,3,3,148,17.0,210.0
2026-03-07 00:16:00+00:00,3,3,245,97.0,240.0
2026-03-07 00:16:30+00:00,3,3,283,38.0,270.0
2026-03-07 00:17:00+00:00,3,3,408,125.0,300.0
2026-03-07 00:17:30+00:00,3,3,465,57.0,330.0
2026-03-07 00:18:00+00:00,3,3,486,21.0,360.0
2026-03-07 00:18:30+00:00,0,0,0,0.0,390.0
2026-03-07 00:19:00+00:00,3,3,653,167.0,420.0
2026-03-07 00:19:30+00:00,3,3,737,84.0,450.0
2026-03-07 00:20:00+00:00,4,4,832,95.0,480.0
2026-03-07 00:20:30+00:00,4,4,1005,173.0,510.0
2026-03-07 00:21:00+00:00,4,4,1084,79.0,540.0
2026-03-07 00:21:30+00:00,4,4,1311,227.0,570.0
2026-03-07 00:22:00+00:00,4,4,1430,119.0,600.0
2026-03-07 00:22:30+00:00,4,4,1488,58.0,630.0
2026-03-07 00:23:00+00:00,4,4,1720,232.0,660.0
2026-03-07 00:23:30+00:00,4,4,1852,132.0,690.0
2026-03-07 00:24:00+00:00,4,4,1938,86.0,720.0
2026-03-07 00:24:30+00:00,4,4,2184,246.0,750.0
2026-03-07 00:25:00+00:00,4,4,2233,49.0,780.0
2026-03-07 00:25:30+00:00,4,4,2400,167.0,810.0
2026-03-07 00:26:00+00:00,4,4,2517,117.0,840.0
2026-03-07 00:26:30+00:00,4,4,2654,137.0,870.0
2026-03-07 00:27:00+00:00,4,4,2836,182.0,900.0
2026-03-07 00:27:30+00:00,4,4,2897,61.0,930.0
2026-03-07 00:28:00+00:00,4,4,3070,173.0,960.0
2026-03-07 00:28:30+00:00,4,4,3172,102.0,990.0
2026-03-07 00:29:00+00:00,4,4,3318,146.0,1020.0
2026-03-07 00:29:30+00:00,4,4,3463,145.0,1050.0
2026-03-07 00:30:00+00:00,4,4,3545,82.0,1080.0
2026-03-07 00:30:30+00:00,4,4,3656,111.0,1110.0
2026-03-07 00:31:00+00:00,4,4,3900,244.0,1140.0
2026-03-07 00:31:30+00:00,4,4,3939,39.0,1170.0
2026-03-07 00:32:00+00:00,4,4,4122,183.0,1200.0
2026-03-07 00:32:30+00:00,4,4,4255,133.0,1230.0
2026-03-07 00:33:00+00:00,4,4,4439,184.0,1260.0
2026-03-07 00:33:30+00:00,4,4,4552,113.0,1290.0
2026-03-07 00:34:00+00:00,4,4,4592,40.0,1320.0
2026-03-07 00:34:30+00:00,4,4,4697,105.0,1350.0
2026-03-07 00:35:00+00:00,4,4,4912,215.0,1380.0
2026-03-07 00:35:30+00:00,4,4,4978,66.0,1410.0
2026-03-07 00:36:00+00:00,4,4,5141,163.0,1440.0
2026-03-07 00:36:30+00:00,4,4,5244,103.0,1470.0
2026-03-07 00:37:00+00:00,4,4,5430,186.0,1500.0
2026-03-07 00:37:30+00:00,4,4,5546,116.0,1530.0
2026-03-07 00:38:00+00:00,4,4,5679,133.0,1560.0
2026-03-07 00:38:30+00:00,4,4,5790,111.0,1590.0
2026-03-07 00:39:00+00:00,4,4,5904,114.0,1620.0
2026-03-07 00:39:30+00:00,4,4,6048,144.0,1650.0
2026-03-07 00:40:00+00:00,4,4,6107,59.0,1680.0
2026-03-07 00:40:30+00:00,4,4,6278,171.0,1710.0
2026-03-07 00:41:00+00:00,4,4,6393,115.0,1740.0
2026-03-07 00:41:30+00:00,4,4,6548,155.0,1770.0
2026-03-07 00:42:00+00:00,4,4,6669,121.0,1800.0
2026-03-07 00:42:30+00:00,4,4,6744,75.0,1830.0
2026-03-07 00:43:00+00:00,4,4,6926,182.0,1860.0
2026-03-07 00:43:30+00:00,4,4,7037,111.0,1890.0
2026-03-07 00:44:00+00:00,4,4,7182,145.0,1920.0
2026-03-07 00:44:30+00:00,4,4,7263,81.0,1950.0
2026-03-07 00:45:00+00:00,4,4,7297,34.0,1980.0
2026-03-07 00:45:30+00:00,4,4,7419,122.0,2010.0
2026-03-07 00:46:00+00:00,4,4,7501,82.0,2040.0
2026-03-07 00:46:30+00:00,0,0,0,0.0,2070.0
2026-03-07 00:47:00+00:00,4,4,7590,89.0,2100.0
2026-03-07 00:47:30+00:00,4,4,7676,86.0,2130.0
2026-03-07 00:48:00+00:00,4,4,7759,83.0,2160.0
2026-03-07 00:48:30+00:00,4,4,7847,88.0,2190.0
