timestep,rows_captured,unique_videos_captured,total_view_count,total_like_count,total_comment_count,new_view_count,new_like_count,new_comment_count,seconds_since_start
2026-03-07 02:39:30+00:00,1,1,0,3,2,0.0,0.0,0.0,0.0
2026-03-07 02:40:00+00:00,1,1,1,6,5,1.0,3.0,3.0,30.0
2026-03-07 02:40:30+00:00,1,1,42,12,7,41.0,6.0,2.0,60.0
2026-03-07 02:41:00+00:00,1,1,81,18,7,39.0,6.0,0.0,90.0
2026-03-07 02:41:30+00:00,1,1,115,24,9,34.0,6.0,2.0,120.0
2026-03-07 02:42:00+00:00,1,1,236,30,11,121.0,6.0,2.0,150.0
2026-03-07 02:42:30+00:00,1,1,348,39,12,112.0,9.0,1.0,180.0
2026-03-07 02:43:00+00:00,1,1,368,43,12,20.0,4.0,0.0,210.0
2026-03-07 02:43:30+00:00,1,1,489,51,13,121.0,8.0,1.0,240.0
2026-03-07 02:44:00+00:00,1,1,608,56,14,119.0,5.0,1.0,270.0
2026-03-07 02:44:30+00:00,1,1,750,69,16,142.0,13.0,2.0,300.0
2026-03-07 02:45:00+00:00,1,1,838,77,18,88.0,8.0,2.0,330.0
2026-03-07 02:45:30+00:00,2,2,971,85,19,133.0,6.0,1.0,360.0
2026-03-07 02:46:00+00:00,2,2,1207,99,21,236.0,14.0,2.0,390.0
2026-03-07 02:46:30+00:00,2,2,1241,102,24,34.0,3.0,3.0,420.0
2026-03-07 02:47:00+00:00,2,2,1327,110,27,86.0,8.0,3.0,450.0
2026-03-07 02:47:30+00:00,2,2,1651,123,28,324.0,13.0,1.0,480.0
2026-03-07 02:48:00+00:00,2,2,1729,139,28,78.0,16.0,0.0,510.0
2026-03-07 02:48:30+00:00,3,3,2048,146,32,318.0,5.0,3.0,540.0
2026-03-07 02:49:00+00:00,3,3,2078,159,37,30.0,13.0,5.0,570.0
2026-03-07 02:49:30+00:00,3,3,2281,173,40,203.0,14.0,3.0,600.0
2026-03-07 02:50:00+00:00,3,3,2624,182,44,343.0,9.0,4.0,630.0
2026-03-07 02:50:30+00:00,3,3,2747,189,45,123.0,7.0,1.0,660.0
2026-03-07 02:51:00+00:00,3,3,3262,198,45,515.0,9.0,0.0,690.0
2026-03-07 02:51:30+00:00,3,3,3434,215,48,172.0,17.0,3.0,720.0
2026-03-07 02:52:00+00:00,3,3,3744,230,49,310.0,15.0,1.0,750.0
2026-03-07 02:52:30+00:00,3,3,4313,244,55,569.0,14.0,6.0,780.0
2026-03-07 02:53:00+00:00,3,3,4855,259,57,542.0,15.0,2.0,810.0
2026-03-07 02:53:30+00:00,3,3,5557,271,57,702.0,12.0,0.0,840.0
2026-03-07 02:54:00+00:00,3,3,5758,284,57,201.0,13.0,0.0,870.0
