timestep,rows_captured,unique_videos_captured,total_view_count,new_view_count,seconds_since_start
2026-03-07 02:39:30+00:00,1,1,0,0.0,0.0
2026-03-07 02:40:00+00:00,1,1,1,1.0,30.0
2026-03-07 02:40:30+00:00,1,1,42,41.0,60.0
2026-03-07 02:41:00+00:00,1,1,81,39.0,90.0
2026-03-07 02:41:30+00:00,1,1,115,34.0,120.0
2026-03-07 02:42:00+00:00,1,1,236,121.0,150.0
2026-03-07 02:42:30+00:00,1,1,348,112.0,180.0
2026-03-07 02:43:00+00:00,1,1,368,20.0,210.0
2026-03-07 02:43:30+00:00,1,1,489,121.0,240.0
2026-03-07 02:44:00+00:00,1,1,608,119.0,270.0
2026-03-07 02:44:30+00:00,1,1,750,142.0,300.0
2026-03-07 02:45:00+00:00,1,1,838,88.0,330.0
2026-03-07 02:45:30+00:00,2,2,971,133.0,360.0
2026-03-07 02:46:00+00:00,2,2,1207,236.0,390.0
2026-03-07 02:46:30+00:00,2,2,1241,34.0,420.0
2026-03-07 02:47:00+00:00,2,2,1327,86.0,450.0
2026-03-07 02:47:30+00:00,2,2,1651,324.0,480.0
2026-03-07 02:48:00+00:00,2,2,1729,78.0,510.0
2026-03-07 02:48:30+00:00,3,3,2048,318.0,540.0
2026-03-07 02:49:00+00:00,3,3,2078,30.0,570.0
2026-03-07 02:49:30+00:00,3,3,2281,203.0,600.0
2026-03-07 02:50:00+00:00,3,3,2624,343.0,630.0
2026-03-07 02:50:30+00:00,3,3,2747,123.0,660.0
2026-03-07 02:51:00+00:00,3,3,3262,515.0,690.0
2026-03-07 02:51:30+00:00,3,3,3434,172.0,720.0
2026-03-07 02:52:00+00:00,3,3,3744,310.0,750.0
2026-03-07 02:52:30+00:00,3,3,4313,569.0,780.0
2026-03-07 02:53:00+00:00,3,3,4855,542.0,810.0
2026-03-07 02:53:30+00:00,3,3,5557,702.0,840.0
2026-03-07 02:54:00+00:00,3,3,5758,201.0,870.0
2026-03-07 02:54:30+00:00,3,3,6341,583.0,900.0
2026-03-07 02:55:00+00:00,3,3,7019,678.0,930.0
2026-03-07 02:55:30+00:00,3,3,7428,409.0,960.0
2026-03-07 02:56:00+00:00,3,3,8194,766.0,990.0
2026-03-07 02:56:30+00:00,3,3,8494,300.0,1020.0
2026-03-07 02:57:00+00:00,3,3,8855,361.0,1050.0
2026-03-07 02:57:30+00:00,3,3,9042,187.0,1080.0
2026-03-07 02:58:00+00:00,3,3,10064,1022.0,1110.0
2026-03-07 02:58:30+00:00,3,3,10346,282.0,1140.0
2026-03-07 02:59:00+00:00,0,0,0,0.0,1170.0
2026-03-07 02:59:30+00:00,3,3,11283,937.0,1200.0
2026-03-07 03:00:00+00:00,4,4,11679,396.0,1230.0
2026-03-07 03:00:30+00:00,4,4,11824,145.0,1260.0
2026-03-07 03:01:00+00:00,4,4,12991,1167.0,1290.0
2026-03-07 03:01:30+00:00,4,4,13748,757.0,1320.0
2026-03-07 03:02:00+00:00,4,4,14581,833.0,1350.0
2026-03-07 03:02:30+00:00,4,4,14691,110.0,1380.0
2026-03-07 03:03:00+00:00,4,4,16139,1448.0,1410.0
2026-03-07 03:03:30+00:00,4,4,16533,394.0,1440.0
2026-03-07 03:04:00+00:00,4,4,17896,1363.0,1470.0
2026-03-07 03:04:30+00:00,4,4,18616,720.0,1500.0
2026-03-07 03:05:00+00:00,4,4,18969,353.0,1530.0
2026-03-07 03:05:30+00:00,4,4,20666,1697.0,1560.0
2026-03-07 03:06:00+00:00,4,4,21187,521.0,1590.0
2026-03-07 03:06:30+00:00,4,4,22961,1774.0,1620.0
2026-03-07 03:07:00+00:00,4,4,23528,567.0,1650.0
2026-03-07 03:07:30+00:00,4,4,25193,1665.0,1680.0
2026-03-07 03:08:00+00:00,4,4,25987,794.0,1710.0
2026-03-07 03:08:30+00:00,4,4,26761,774.0,1740.0
2026-03-07 03:09:00+00:00,4,4,28360,1599.0,1770.0
2026-03-07 03:09:30+00:00,4,4,29529,1169.0,1800.0
2026-03-07 03:10:00+00:00,4,4,30278,749.0,1830.0
2026-03-07 03:10:30+00:00,4,4,31938,1660.0,1860.0
2026-03-07 03:11:00+00:00,4,4,32623,685.0,1890.0
2026-03-07 03:11:30+00:00,4,4,33487,864.0,1920.0
2026-03-07 03:12:00+00:00,4,4,35227,1740.0,1950.0
2026-03-07 03:12:30+00:00,4,4,36393,1166.0,1980.0
2026-03-07 03:13:00+00:00,4,4,37104,711.0,2010.0
2026-03-07 03:13:30+00:00,4,4,38711,1607.0,2040.0
2026-03-07 03:14:00+00:00,4,4,39044,333.0,2070.0
2026-03-07 03:14:30+00:00,4,4,40686,1642.0,2100.0
2026-03-07 03:15:00+00:00,4,4,41707,1021.0,2130.0
2026-03-07 03:15:30+00:00,4,4,43608,1901.0,2160.0
2026-03-07 03:16:00+00:00,4,4,44203,595.0,2190.0
2026-03-07 03:16:30+00:00,4,4,45189,986.0,2220.0
2026-03-07 03:17:00+00:00,4,4,46321,1132.0,2250.0
2026-03-07 03:17:30+00:00,4,4,47443,1122.0,2280.0
2026-03-07 03:18:00+00:00,4,4,48065,622.0,2310.0
2026-03-07 03:18:30+00:00,4,4,49652,1587.0,2340.0
2026-03-07 03:19:00+00:00,4,4,50204,552.0,2370.0
2026-03-07 03:19:30+00:00,4,4,50871,667.0,2400.0
2026-03-07 03:20:00+00:00,4,4,52378,1507.0,2430.0
2026-03-07 03:20:30+00:00,4,4,52893,515.0,2460.0
2026-03-07 03:21:00+00:00,4,4,54789,1896.0,2490.0
2026-03-07 03:21:30+00:00,4,4,55524,735.0,2520.0
2026-03-07 03:22:00+00:00,4,4,56450,926.0,2550.0
