source,target,lag_steps,lag_minutes,val,p_value,q_value,significant,cross_series
shorts,shorts,1,5.0,-0.37402157603175784,6.841454051256002e-07,8.209744861507203e-06,True,False
video,video,1,5.0,-0.2958415384312775,0.00013921242017190104,0.0008352745210314063,True,False
shorts,shorts,2,10.0,-0.2693312897177761,0.00037367425448910953,0.0011210227634673286,True,False
shorts,video,3,15.0,-0.27193485689533886,0.00037367425448910953,0.0011210227634673286,True,True
shorts,video,2,10.0,-0.23646697649349482,0.0019115686036704188,0.004587764648809005,True,True
shorts,shorts,3,15.0,-0.22747148093345973,0.002538019834425803,0.005076039668851606,True,False
video,video,2,10.0,-0.1936521090722167,0.01096984671089652,0.018805451504394034,True,False
video,shorts,3,15.0,0.09322738190566804,0.28885125693012426,0.4332768853951864,False,True
video,shorts,2,10.0,-0.04944743272547203,0.6535642334227117,0.871418977896949,False,True
shorts,video,1,5.0,-0.0032388470385073934,0.9639716399641144,0.9639716399641144,False,True
video,shorts,1,5.0,-0.019301544492588668,0.9453206336624882,0.9639716399641144,False,True
video,video,3,15.0,-0.011800655774741958,0.9482979958483561,0.9639716399641144,False,False
