source,target,lag_steps,lag_minutes,val,p_value,q_value,significant,cross_series
video,video,1,1.0,-0.6351007269327905,3.261551902337649e-107,3.261551902337649e-105,True,False
shorts,shorts,1,1.0,-0.6068062151935245,1.583987970667891e-96,7.919939853339456e-95,True,False
video,video,2,2.0,-0.44722169129701356,1.419135511674265e-46,4.7304517055808836e-45,True,False
shorts,shorts,2,2.0,-0.4311149127208168,1.343178117794333e-43,3.357945294485833e-42,True,False
shorts,shorts,3,3.0,-0.32422515307914995,9.348537674125269e-24,1.8697075348250537e-22,True,False
shorts,shorts,4,4.0,-0.28279486591563807,6.053273610013921e-18,1.0088789350023201e-16,True,False
shorts,shorts,20,20.0,0.25666373872810444,7.926990884819342e-15,1.1324272692599058e-13,True,False
video,video,15,15.0,0.19079893413771024,3.3626939945582714e-08,4.203367493197839e-07,True,False
video,video,25,25.0,0.16043441339275996,7.024046403030079e-06,7.804496003366754e-05,True,False
shorts,video,15,15.0,-0.15759505087912978,9.11694156477038e-06,9.116941564770379e-05,True,True
shorts,shorts,17,17.0,-0.14263375086027338,7.884696011317554e-05,0.000716790546483414,True,False
shorts,shorts,21,21.0,0.13881470944279456,0.00012691828019508047,0.001057652334959004,True,False
shorts,shorts,5,5.0,0.12029600283030113,0.0013731201127771303,0.010562462405977925,True,False
