minutes_since_peak,mean_normalized_attention,median_normalized_attention,mean_new_view_count,items_observed,eligible_for_fit
0.0,1.0,1.0,554.6666666666666,21,True
1.0,0.0779199286826523,0.0,26.571428571428573,21,True
2.0,0.0729053240156538,0.0,18.476190476190474,21,True
3.0,0.09504066400827964,0.0,18.38095238095238,21,True
4.0,0.1415101159075517,0.0,59.42857142857143,21,True
5.0,0.5507483041374762,0.5819209039548022,319.3809523809524,21,True
6.0,0.09097836467831145,0.0,42.285714285714285,21,True
7.0,0.04937966059483385,0.0,11.80952380952381,21,True
8.0,0.06461789654399701,0.0,15.904761904761905,21,True
9.0,0.12672692900396618,0.0,66.47619047619048,21,True
10.0,0.4089176708094732,0.3891625615763547,207.9047619047619,21,True
11.0,0.07002619347209446,0.0,35.23809523809524,21,True
12.0,0.06872237123122085,0.0,18.19047619047619,21,True
13.0,0.05153071225976587,0.0,12.571428571428571,21,True
14.0,0.10713531785102018,0.005845323741007194,39.95,20,True
15.0,0.3214369154537704,0.3669720546936145,161.95,20,True
16.0,0.07253738192026732,0.0,23.7,20,True
17.0,0.04258829615351222,0.0,8.45,20,True
18.0,0.05028982543906122,0.0,11.25,20,True
19.0,0.12015821298627735,0.027632645841272556,51.4,20,True
20.0,0.27599482655664126,0.28379540792695035,133.0,20,True
21.0,0.12092047757413511,0.0,42.9,20,True
22.0,0.054928714295440516,0.0,10.55,20,True
23.0,0.03804549186363933,0.0,12.3,20,True
24.0,0.11558989367364451,0.02463391136801541,80.9,20,True
25.0,0.2961533278630171,0.29994496134189486,167.3,20,True
26.0,0.05635351918433832,0.0,11.75,20,True
27.0,0.029823095638803775,0.0,9.5,20,True
28.0,0.04859688429165016,0.0,13.0,20,True
29.0,0.08166770919792735,0.00995504174694926,47.45,20,True
30.0,0.34506317732619485,0.3672893868083427,191.7,20,True
31.0,0.06842465704180863,0.0,33.65,20,True
32.0,0.02300976045115844,0.0,5.05,20,True
33.0,0.03254446864328146,0.0,9.0,20,True
34.0,0.09703835120922011,0.02638730104459379,54.9,20,True
35.0,0.29148222033636845,0.2958562735439003,158.5,20,True
36.0,0.0622420184933414,0.0,29.3,20,True
37.0,0.028085046883093906,0.0,6.95,20,True
38.0,0.03668599476416465,0.0,11.45,20,True
39.0,0.14425475795893014,0.022093011121451796,99.8,20,True
40.0,0.26600288606925493,0.2348850954351076,156.75,20,True
41.0,0.047865509014479966,0.0,18.85,20,True
42.0,0.03266689751024448,0.0,10.8,20,True
43.0,0.06554143326770247,0.0,41.15,20,True
44.0,0.07250956799366108,0.0,36.4,20,True
45.0,0.24530778759536348,0.2584004884004884,151.65,20,True
46.0,0.04429200243974912,0.0,10.55,20,True
47.0,0.01689119427239554,0.0,7.75,20,True
48.0,0.04265971325073347,0.0,23.3,20,True
49.0,0.08459081186838902,0.017556053811659193,35.05,20,True
50.0,0.24865873414035766,0.25413807415605977,136.15,20,True
51.0,0.03578495856395736,0.0,8.25,20,True
52.0,0.022641230788484696,0.0,6.0,20,True
53.0,0.056402531603637694,0.0,36.4,20,True
54.0,0.09062889438977885,0.0,57.6,20,True
55.0,0.24210393881614162,0.22840504128639721,147.4,20,True
56.0,0.04682613937806753,0.0,25.9,20,True
57.0,0.02118686514015933,0.0,6.25,20,True
58.0,0.022184602470293475,0.0,7.55,20,True
59.0,0.13336340114459763,0.01495049504950495,95.3,20,True
60.0,0.32194065940987915,0.26727045162187535,203.6,20,True
61.0,0.02548793462220248,0.0,8.95,20,True
62.0,0.05396417814954065,0.0,39.65,20,True
63.0,0.04210874119455749,0.0,28.85,20,True
64.0,0.10483168486676468,0.01,79.15,20,True
65.0,0.285097936841417,0.2927832512315271,151.7,20,True
66.0,0.03411355494040004,0.0,15.9,20,True
67.0,0.014380054912460536,0.0,7.4,20,True
68.0,0.01752207111630761,0.0,10.8,20,True
69.0,0.1005774865967447,0.014787430683918669,64.0,20,True
70.0,0.22213554132976424,0.26092959224996665,103.1,20,True
71.0,0.023825434791351886,0.0,10.95,20,True
72.0,0.019831592770548006,0.0,8.05,20,True
73.0,0.042237542898612604,0.0,34.15,20,True
74.0,0.12925793036603786,0.026995400491343878,77.45,20,True
75.0,0.20343100409599177,0.22000711660846373,111.5,20,True
76.0,0.035265505109622425,0.0,20.65,20,True
77.0,0.011536960086581706,0.0,7.4,20,True
78.0,0.02498262225624254,0.0,8.05,20,True
79.0,0.14276176549505437,0.03571164510166359,89.3,20,True
80.0,0.13323340357346464,0.0658362610454594,77.2,20,True
81.0,0.07198365785671547,0.0,30.0,20,True
82.0,0.016179209402821294,0.0,5.1,20,True
