source,target,lag_steps,lag_minutes,val,p_value,q_value,significant,cross_series
shorts,shorts,1,5.0,-0.4384035025492026,9.61796554593552e-224,4.61662346204905e-222,True,False
shorts,shorts,3,15.0,-0.3311747951786139,2.858733406741075e-122,6.86096017617858e-121,True,False
video,shorts,2,10.0,0.30607124938410524,1.0987130581253616e-103,1.7579408930005785e-102,True,True
video,shorts,4,20.0,-0.25252330931273603,7.930564833104437e-70,9.516677799725324e-69,True,True
shorts,shorts,2,10.0,-0.24715530373455402,5.565187556362113e-67,5.342580054107628e-66,True,False
shorts,video,5,25.0,-0.24173998633011812,4.563703606064514e-64,3.650962884851611e-63,True,True
shorts,shorts,5,25.0,-0.22894238624790175,1.8517315864822826e-57,1.2697588021592794e-56,True,False
video,video,4,20.0,-0.22312166901680033,1.4946272216033475e-54,8.967763329620086e-54,True,False
video,video,6,30.0,-0.21913306405020205,1.168186255165774e-52,6.230326694217461e-52,True,False
video,video,1,5.0,-0.2133539592007228,5.762402234871037e-50,2.7659530727380974e-49,True,False
video,shorts,1,5.0,0.1889676861985254,2.67156031426146e-39,1.1657717734959098e-38,True,True
shorts,video,3,15.0,-0.18449672145222426,1.6107882205648638e-37,6.443152882259455e-37,True,True
video,video,9,45.0,-0.18195678691889955,1.6932332488864336e-36,6.251938149734524e-36,True,False
video,shorts,6,30.0,-0.16582230147524277,1.7818682336834303e-30,6.109262515486046e-30,True,True
shorts,shorts,6,30.0,-0.16424173753958024,5.8507320300458345e-30,1.872234249614667e-29,True,False
shorts,video,6,30.0,-0.15581871432817693,4.614230252587049e-27,1.3842690757761148e-26,True,True
video,video,3,15.0,-0.15237762815826683,6.128232486201618e-26,1.7303244666922213e-25,True,False
shorts,video,2,10.0,-0.14901415107605748,6.9293695835978745e-25,1.847831888959433e-24,True,True
video,shorts,9,45.0,-0.14475603547898766,1.528756572522582e-23,3.8621218674254705e-23,True,True
shorts,video,8,40.0,-0.13216363045077836,8.049770925961438e-20,1.931945022230745e-19,True,True
shorts,shorts,11,55.0,0.12238201143471468,3.613322992963361e-17,8.259023983916255e-17,True,False
shorts,video,11,55.0,0.10921677295383152,6.694810788871724e-14,1.4606859902992853e-13,True,True
shorts,video,10,50.0,0.09646019821659238,4.2173439118705326e-11,8.801413381295024e-11,True,True
shorts,video,4,20.0,-0.07624655149340942,2.3816316214866473e-07,4.7632632429732946e-07,True,True
video,video,5,25.0,-0.06946618534026475,2.7309896908119313e-06,5.243500206358908e-06,True,False
video,shorts,8,40.0,-0.06401425492259889,1.6338222704654968e-05,3.0162872685516865e-05,True,True
shorts,video,7,35.0,0.0626791703172991,2.4079572811155795e-05,4.2808129442054745e-05,True,True
video,shorts,3,15.0,-0.06224416598250457,2.6589912950377974e-05,4.558270791493367e-05,True,True
video,video,12,60.0,-0.06048113869579512,4.5127522151066095e-05,7.469382976728182e-05,True,False
shorts,video,12,60.0,-0.05415313837398806,0.0002749907193193998,0.0004399851509110397,True,True
video,shorts,10,50.0,0.05321065317865562,0.00034446237318525784,0.0005333610939642702,True,True
shorts,shorts,4,20.0,-0.051662060199703035,0.0005038143210514682,0.0007557214815772023,True,False
video,shorts,7,35.0,0.04833898214776283,0.0011602609783760577,0.0016876523321833565,True,True
video,shorts,5,25.0,-0.04021422726315195,0.007454303196999857,0.010523722160470386,True,True
shorts,shorts,8,40.0,-0.035728095686323506,0.01805216281069791,0.02475725185467142,True,False
shorts,video,9,45.0,0.030682278443322435,0.04443696141545455,0.059249281887272735,False,True
shorts,shorts,10,50.0,0.029689358322141316,0.049784005786045145,0.06288505994026755,False,False
video,shorts,11,55.0,0.029840631526017427,0.049784005786045145,0.06288505994026755,False,True
shorts,shorts,12,60.0,-0.028869303462774935,0.05563877796899385,0.06847849596183858,False,False
video,video,8,40.0,-0.02448151945217689,0.10755541813952194,0.12906650176742632,False,False
video,video,7,35.0,0.01989275014588094,0.1918318040649674,0.21923634750281987,False,False
video,video,11,55.0,-0.02005807627552867,0.1918318040649674,0.21923634750281987,False,False
video,shorts,12,60.0,-0.012986040619737549,0.41071929438454385,0.4584773518711187,False,True
video,video,2,10.0,-0.010038991572722372,0.5305438569398274,0.5761273487131959,False,False
video,video,10,50.0,-0.009587705989189312,0.5401193894186211,0.5761273487131959,False,False
shorts,shorts,7,35.0,0.002332196697408181,0.9010969212363954,0.9010969212363954,False,False
shorts,shorts,9,45.0,-0.0017916200431465107,0.9010969212363954,0.9010969212363954,False,False
shorts,video,1,5.0,0.002082348406002337,0.9010969212363954,0.9010969212363954,False,True
