source,target,lag_steps,lag_minutes,val,p_value,q_value,significant,cross_series
shorts,shorts,1,5.0,-0.6616349940033279,0.0,0.0,True,False
video,video,1,5.0,-0.4979783352360328,4.3488617794035365e-299,1.0437268270568489e-297,True,False
shorts,shorts,3,15.0,-0.3636895392315365,3.5431746027051105e-149,5.669079364328177e-148,True,False
shorts,shorts,2,10.0,-0.34697626976317825,4.3832263373290725e-135,5.259871604794887e-134,True,False
video,video,2,10.0,-0.31641992441249184,1.6461459295294542e-111,1.580300092348276e-110,True,False
shorts,shorts,4,20.0,-0.30703085045442285,1.2686823344551399e-104,1.0149458675641119e-103,True,False
shorts,shorts,5,25.0,-0.1522651841846443,1.659228663893579e-25,1.137756798098454e-24,True,False
video,video,3,15.0,-0.15003840707358326,6.879559510394651e-25,4.127735706236791e-24,True,False
shorts,shorts,7,35.0,0.12446481690612908,2.4568449409059787e-17,1.310317301816522e-16,True,False
shorts,shorts,12,60.0,-0.11282122950812631,2.0883167634705585e-14,1.002392046465868e-13,True,False
shorts,shorts,6,30.0,-0.10627650236412407,6.456927846023874e-13,2.8175685146285995e-12,True,False
video,shorts,12,60.0,0.10536664623118992,9.369600518796887e-13,3.747840207518755e-12,True,True
shorts,shorts,9,45.0,0.10477364131161428,1.2109823787196789e-12,4.471319552195737e-12,True,False
shorts,shorts,8,40.0,0.10368710843824443,1.958187406014478e-12,6.713785392049639e-12,True,False
video,video,6,30.0,-0.10079751976927544,7.44746519193352e-12,2.3831888614187264e-11,True,False
shorts,video,1,5.0,0.09674053121769574,5.2000359694651126e-11,1.560010790839534e-10,True,True
shorts,shorts,11,55.0,-0.09351265330151039,2.328628108562627e-10,6.574949953588594e-10,True,False
video,shorts,5,25.0,0.0874323589629254,3.2650999660622467e-09,8.706933242832658e-09,True,True
shorts,video,2,10.0,0.08082546596692511,4.930603215610883e-08,1.2456260755227494e-07,True,True
video,video,10,50.0,0.06494303141574341,1.5455781679462823e-05,3.7093876030710774e-05,True,False
shorts,video,12,60.0,-0.06382989891361505,2.1469449527677154e-05,4.907302749183349e-05,True,True
shorts,shorts,10,50.0,-0.06050499347073949,5.871206341935628e-05,0.0001280990474604137,True,False
shorts,video,9,45.0,0.05581101661173626,0.00022385500776476273,0.0004671756683786352,True,True
video,shorts,8,40.0,0.05172049399961338,0.0006632679947646176,0.0013265359895292352,True,True
video,shorts,6,30.0,0.04978060103526149,0.0010572939716318958,0.00203000442553324,True,True
shorts,video,11,55.0,-0.04612317423715439,0.00253678717334054,0.0046832993969363815,True,True
video,video,9,45.0,0.04430648266173247,0.0037284148516593266,0.00662829306961658,True,False
video,shorts,4,20.0,0.04379797557789922,0.004066570860518949,0.006971264332318198,True,True
shorts,video,10,50.0,0.040213432809252964,0.008733189252426662,0.014454933935051028,True,True
video,video,8,40.0,0.03761991898560853,0.014434223636622483,0.023094757818595973,True,False
