source,target,lag_steps,lag_minutes,val,p_value,q_value,significant,cross_series
video,shorts,2,10.0,0.3060712493841052,1.0987130581253617e-103,1.7579408930005785e-102,True,True
video,shorts,4,20.0,-0.252523309312736,7.930564833104437e-70,9.516677799725324e-69,True,True
shorts,video,5,25.0,-0.2417399863301181,4.563703606064514e-64,3.650962884851611e-63,True,True
video,shorts,1,5.0,0.1889676861985254,2.67156031426146e-39,1.1657717734959097e-38,True,True
shorts,video,3,15.0,-0.1844967214522242,1.6107882205648638e-37,6.443152882259455e-37,True,True
video,shorts,6,30.0,-0.1658223014752427,1.7818682336834303e-30,6.109262515486046e-30,True,True
shorts,video,6,30.0,-0.1558187143281769,4.614230252587049e-27,1.3842690757761148e-26,True,True
shorts,video,2,10.0,-0.1490141510760574,6.9293695835978745e-25,1.847831888959433e-24,True,True
video,shorts,9,45.0,-0.1447560354789876,1.528756572522582e-23,3.8621218674254716e-23,True,True
shorts,video,8,40.0,-0.1321636304507783,8.049770925961439e-20,1.931945022230745e-19,True,True
shorts,video,11,55.0,0.1092167729538315,6.694810788871724e-14,1.4606859902992853e-13,True,True
shorts,video,10,50.0,0.0964601982165923,4.2173439118705326e-11,8.801413381295024e-11,True,True
shorts,video,4,20.0,-0.0762465514934094,2.3816316214866478e-07,4.7632632429732957e-07,True,True
video,shorts,8,40.0,-0.0640142549225988,1.6338222704654968e-05,3.0162872685516865e-05,True,True
shorts,video,7,35.0,0.0626791703172991,2.4079572811155795e-05,4.2808129442054745e-05,True,True
video,shorts,3,15.0,-0.0622441659825045,2.658991295037797e-05,4.558270791493367e-05,True,True
shorts,video,12,60.0,-0.054153138373988,0.0002749907193193,0.000439985150911,True,True
video,shorts,10,50.0,0.0532106531786556,0.0003444623731852,0.0005333610939642,True,True
video,shorts,7,35.0,0.0483389821477628,0.001160260978376,0.0016876523321833,True,True
video,shorts,5,25.0,-0.0402142272631519,0.0074543031969998,0.0105237221604703,True,True
