source,target,lag_steps,lag_minutes,val,p_value,q_value,significant,cross_series
shorts,shorts,12,60.0,-0.1573848558725807,0.05952566460244988,0.7143079752293986,False,False
shorts,video,12,60.0,-0.1567026148064864,0.05952566460244988,0.7143079752293986,False,True
video,shorts,12,60.0,-0.15788282454706057,0.05952566460244988,0.7143079752293986,False,True
video,video,12,60.0,-0.15719814941614155,0.05952566460244988,0.7143079752293986,False,False
shorts,shorts,1,5.0,0.03302164678907481,0.99929323345087,0.99929323345087,False,False
shorts,shorts,2,10.0,0.004542987468497823,0.99929323345087,0.99929323345087,False,False
shorts,shorts,3,15.0,-0.0008727671247606813,0.99929323345087,0.99929323345087,False,False
shorts,shorts,4,20.0,-0.0024487297823464894,0.99929323345087,0.99929323345087,False,False
shorts,shorts,5,25.0,-0.04344089341762959,0.99929323345087,0.99929323345087,False,False
shorts,shorts,6,30.0,-0.001708156470071691,0.99929323345087,0.99929323345087,False,False
shorts,shorts,7,35.0,-0.0008040080488197248,0.99929323345087,0.99929323345087,False,False
shorts,shorts,8,40.0,-0.001011589594230057,0.99929323345087,0.99929323345087,False,False
shorts,shorts,9,45.0,0.02141244944097877,0.99929323345087,0.99929323345087,False,False
shorts,shorts,10,50.0,-0.026578667663924884,0.99929323345087,0.99929323345087,False,False
shorts,shorts,11,55.0,-0.0786714906230835,0.99929323345087,0.99929323345087,False,False
shorts,video,1,5.0,0.035260517829631376,0.99929323345087,0.99929323345087,False,True
shorts,video,2,10.0,0.004174758715489188,0.99929323345087,0.99929323345087,False,True
shorts,video,3,15.0,-0.00013851562723637197,0.99929323345087,0.99929323345087,False,True
shorts,video,4,20.0,-0.002823788970227138,0.99929323345087,0.99929323345087,False,True
shorts,video,5,25.0,-0.04414666253113328,0.99929323345087,0.99929323345087,False,True
shorts,video,6,30.0,-0.0019483551963103117,0.99929323345087,0.99929323345087,False,True
shorts,video,7,35.0,-0.0009603400724333045,0.99929323345087,0.99929323345087,False,True
shorts,video,8,40.0,-0.0011748687706931106,0.99929323345087,0.99929323345087,False,True
shorts,video,9,45.0,0.02108440231964439,0.99929323345087,0.99929323345087,False,True
shorts,video,10,50.0,-0.02717837594545649,0.99929323345087,0.99929323345087,False,True
shorts,video,11,55.0,-0.0785457951985649,0.99929323345087,0.99929323345087,False,True
video,shorts,1,5.0,0.03414135919267339,0.99929323345087,0.99929323345087,False,True
video,shorts,2,10.0,0.0009238844329041057,0.99929323345087,0.99929323345087,False,True
video,shorts,3,15.0,-0.0006809436583550432,0.99929323345087,0.99929323345087,False,True
video,shorts,4,20.0,-0.0023865194841068207,0.99929323345087,0.99929323345087,False,True
video,shorts,5,25.0,-0.04304800287866333,0.99929323345087,0.99929323345087,False,True
video,shorts,6,30.0,-0.001532063725110992,0.99929323345087,0.99929323345087,False,True
video,shorts,7,35.0,-0.0006356820977217707,0.99929323345087,0.99929323345087,False,True
video,shorts,8,40.0,-0.0008944807883003497,0.99929323345087,0.99929323345087,False,True
video,shorts,9,45.0,0.021782377427299687,0.99929323345087,0.99929323345087,False,True
video,shorts,10,50.0,-0.02728511295302971,0.99929323345087,0.99929323345087,False,True
video,shorts,11,55.0,0.07630877048097698,0.99929323345087,0.99929323345087,False,True
video,video,1,5.0,0.03636399884415599,0.99929323345087,0.99929323345087,False,False
video,video,2,10.0,0.0005139813084387876,0.99929323345087,0.99929323345087,False,False
video,video,3,15.0,4.971229892434958e-05,0.99929323345087,0.99929323345087,False,False
video,video,4,20.0,-0.0027609750106378818,0.99929323345087,0.99929323345087,False,False
video,video,5,25.0,-0.04375095666337499,0.99929323345087,0.99929323345087,False,False
video,video,6,30.0,-0.0017716327754830309,0.99929323345087,0.99929323345087,False,False
video,video,7,35.0,-0.0007920431136965383,0.99929323345087,0.99929323345087,False,False
video,video,8,40.0,-0.001057332406217685,0.99929323345087,0.99929323345087,False,False
video,video,9,45.0,0.02145051875015433,0.99929323345087,0.99929323345087,False,False
video,video,10,50.0,-0.027878386653997764,0.99929323345087,0.99929323345087,False,False
video,video,11,55.0,0.07619206498418293,0.99929323345087,0.99929323345087,False,False
