timestep,S,V,target_S,target_V,pred_target_S,pred_target_V
2026-03-24 18:05:00+00:00,675.5,82.0,675.5,82.0,-403.74744371901033,-44.42752083307477
2026-03-24 18:10:00+00:00,660.0,157.0,-15.5,75.0,-410.4108615706503,-61.629356161747786
2026-03-24 18:15:00+00:00,536.0,123.0,-124.0,-34.0,-400.35194376752406,-54.160309559830885
2026-03-24 18:20:00+00:00,485.0,116.0,-51.0,-7.0,-396.79979636467965,-52.73982714413081
2026-03-24 18:25:00+00:00,351.0,47.0,-134.0,-69.0,-384.55756667390915,-37.64333982671051
2026-03-24 18:30:00+00:00,495.0,37.0,144.0,-10.0,-391.5994773812961,-35.318679339522205
2026-03-24 18:35:00+00:00,393.0,36.0,-102.0,-1.0,-386.31898030233083,-35.24382401182107
2026-03-24 18:40:00+00:00,607.0,104.0,214.0,68.0,-402.6131062211197,-49.50412109519092
2026-03-24 18:45:00+00:00,472.0,142.0,-135.0,38.0,-397.83041534400473,-59.00063546602646
2026-03-24 18:50:00+00:00,461.0,94.0,-11.0,-48.0,-393.82914574844233,-47.75901574253385
2026-03-24 18:55:00+00:00,570.0,105.0,109.0,11.0,-400.7716048548662,-49.86878025199883
2026-03-24 19:00:00+00:00,508.5,149.0,-61.5,44.0,-400.68953602547083,-60.51633027313859
2026-03-24 19:05:00+00:00,451.5,117.0,-57.0,-32.0,-394.8101225685664,-53.11418320720107
2026-03-24 19:10:00+00:00,403.5,44.0,-48.0,-73.0,-387.36401106369175,-36.91687763239047
2026-03-24 19:15:00+00:00,468.0,139.0,64.5,95.0,-397.3615988902838,-58.292610675782306
2026-03-24 19:20:00+00:00,270.0,130.0,-198.0,-9.0,-382.934960661608,-57.047706348190516
2026-03-24 19:25:00+00:00,399.0,114.0,129.0,-16.0,-391.2598074711429,-52.623952114461
2026-03-24 19:30:00+00:00,413.5,110.0,14.5,-4.0,-391.95684937836484,-51.62467430363163
2026-03-24 19:35:00+00:00,409.5,110.0,-4.0,0.0,-391.70057409581887,-51.640431156185855
2026-03-24 19:40:00+00:00,469.5,126.0,60.0,16.0,-396.55340544516406,-55.16506025134525
2026-03-24 19:45:00+00:00,441.0,91.0,-28.5,-35.0,-392.44863772777506,-47.14418409197773
2026-03-24 19:50:00+00:00,332.5,85.0,-108.5,-6.0,-385.3382752928824,-46.119346614891896
2026-03-24 19:55:00+00:00,585.0,78.0,252.5,-7.0,-399.22210586361064,-43.82141178388987
2026-03-24 20:00:00+00:00,445.0,104.0,-140.0,26.0,-393.54382962806704,-50.10746530390418
2026-03-24 20:05:00+00:00,426.5,80.0,-18.5,-24.0,-390.8848748915185,-44.710744891592505
2026-03-24 20:10:00+00:00,416.5,115.0,-10.0,35.0,-392.4573001290783,-52.78827482468157
2026-03-24 20:15:00+00:00,275.5,29.0,-141.0,-86.0,-379.22416468017065,-33.905356166562285
2026-03-24 20:20:00+00:00,492.0,91.0,216.5,62.0,-395.39613531883964,-46.977985108559025
2026-03-24 20:25:00+00:00,515.0,123.0,23.0,32.0,-399.1164519434705,-54.25280944652997
2026-03-24 20:30:00+00:00,335.0,113.0,-180.0,-10.0,-386.89275839634547,-52.64688610768986
2026-03-24 20:35:00+00:00,658.5,78.0,323.5,-35.0,-402.61113313212013,-43.61610715731382
2026-03-24 20:40:00+00:00,722.5,141.0,64.0,63.0,-412.03737164026154,-57.492785752021646
2026-03-24 20:45:00+00:00,610.0,183.0,-112.5,42.0,-409.91368486416707,-68.35233672261009
2026-03-24 20:50:00+00:00,402.0,59.0,-208.0,-124.0,-388.1762179575951,-40.14123291772571
2026-03-24 20:55:00+00:00,433.0,88.0,31.0,29.0,-391.77876900341914,-46.49030803209033
2026-03-24 21:00:00+00:00,398.0,93.0,-35.0,5.0,-389.95455841183593,-47.74182227785188
2026-03-24 21:05:00+00:00,555.0,95.0,157.0,2.0,-399.14078912660983,-47.66657457861769
2026-03-24 21:10:00+00:00,466.5,116.0,-88.5,21.0,-395.6727560693107,-52.81667761136126
2026-03-24 21:15:00+00:00,537.0,121.0,70.5,5.0,-400.2507754365908,-53.68788823654111
2026-03-24 21:20:00+00:00,418.0,67.0,-119.0,-54.0,-389.57781398921173,-41.852614781390905
2026-03-24 21:25:00+00:00,354.5,77.0,-63.5,10.0,-386.3395472504161,-44.23989075087751
2026-03-24 21:30:00+00:00,285.0,82.0,-69.5,5.0,-382.03760940852754,-45.57422577770958
2026-03-24 21:35:00+00:00,513.0,74.0,228.0,-8.0,-395.268685842995,-43.145806892382794
2026-03-24 21:40:00+00:00,535.5,108.0,22.5,34.0,-399.1313619341108,-50.68483334150504
2026-03-24 21:45:00+00:00,488.5,106.0,-47.0,-2.0,-396.2859924176178,-50.40535108653003
2026-03-24 21:50:00+00:00,240.0,105.0,-248.5,-1.0,-379.7388437672547,-51.1096323906452
2026-03-24 21:55:00+00:00,477.5,100.0,237.5,-5.0,-395.2122138432084,-49.069151071093884
2026-03-24 22:00:00+00:00,493.0,95.0,15.5,-5.0,-395.74480876442925,-47.877501536673314
2026-03-24 22:05:00+00:00,289.5,91.0,-203.5,-4.0,-382.7288492032411,-47.63789283683915
2026-03-24 22:10:00+00:00,518.5,15.0,229.0,-76.0,-391.0179222850682,-30.8450608592994
2026-03-24 22:15:00+00:00,498.5,117.0,-20.0,102.0,-397.6826010451728,-52.91725836130161
2026-03-24 22:20:00+00:00,686.5,125.0,188.0,8.0,-408.5989388037894,-53.956066934502175
2026-03-24 22:25:00+00:00,342.5,122.0,-344.0,-3.0,-387.8681387547607,-54.77148589596333
2026-03-24 22:30:00+00:00,457.0,102.0,114.5,-20.0,-394.13661078632595,-49.60198632989099
2026-03-24 22:35:00+00:00,528.5,107.0,71.5,5.0,-398.6595715623183,-50.482538882301775
2026-03-24 22:40:00+00:00,428.0,115.0,-100.5,8.0,-393.1948516497641,-52.740914739447526
2026-03-24 22:45:00+00:00,429.0,75.0,1.0,-40.0,-390.7131939253084,-43.590084719035765
2026-03-24 22:50:00+00:00,404.5,63.0,-24.5,-12.0,-388.55877698715193,-41.007750003659766
2026-03-24 22:55:00+00:00,143.0,82.0,-261.5,19.0,-371.7671517094531,-45.991209393940416
2026-03-24 23:00:00+00:00,257.0,46.0,114.0,-36.0,-378.7403677465605,-37.583266101256264
