video_id,peak_rate_per_sec,time_to_peak_sec,drop_time_sec,peak_duration_sec
-F8U28g_0W8,0.043727598566308236,183.0,795.0,612.0
4bsytNOQQJk,0.017241379310344827,61.0,243.0,182.0
5HjSxNJ_yFY,0.0016666666666666666,8235.0,8840.0,605.0
6EyYh-9fuNM,0.017857142857142856,61.0,245.0,184.0
8s_fOeffgx0,0.025,121.0,242.0,121.0
AygL2pfJPC8,0.03225806451612903,31.0,91.0,60.0
DOn_JO_oXqQ,0.03333333333333333,30.0,152.0,122.0
EWLSiWqlh4Y,0.0,27.0,,
F4Mr7OnHq1w,0.016344086021505375,2084.0,2545.0,461.0
G3Bkz_ytrzY,0.008064516129032258,122.0,275.0,153.0
K8pwQBWeCI8,0.06451612903225806,31.0,92.0,61.0
Mx6Rvm-XhWM,0.010416666666666666,93.0,212.0,119.0
RVlB7s9uXD0,0.006559139784946236,19583.0,20137.0,554.0
UCpAMjfSMtM,0.034482758620689655,29.0,90.0,61.0
Vd6VqadIQlE,0.01488006617038875,4436.0,4834.0,398.0
ZeCRJDWJg5U,0.03571428571428571,28.0,90.0,62.0
ZtlHmXUobVU,0.008172043010752689,3946.0,4374.0,428.0
a8PrkqVWt_s,0.0,30.0,,
b3IuZjYub4I,0.011111111111111112,92.0,215.0,123.0
cxaRT7IFA64,0.006559139784946237,1097.0,1250.0,153.0
gIPHAF5Uu_8,0.03571428571428571,28.0,89.0,61.0
gRNQkeddOeo,0.0016129032258064516,29012.0,29626.0,614.0
jdSgTZZ0CQI,0.006505376344086021,1866.0,2110.0,244.0
nM0Og0nVMeU,0.008118279569892473,20581.0,21165.0,584.0
p4z6jOQmyQo,0.016666666666666666,118.0,363.0,245.0
q7oYm4P9UKc,0.006559139784946236,22281.0,22373.0,92.0
sLqrRTf1-XI,0.008198924731182795,239.0,516.0,277.0
u-GJksRVVfk,0.0035842293906810036,275.0,581.0,306.0
vka7zBhOFxM,0.03125,32.0,212.0,180.0
