video_id,peak_rate_per_sec,time_to_peak_sec,drop_time_sec,peak_duration_sec
-F8U28g_0W8,0.21344086021505376,61.0,1223.0,1162.0
25nXjfAtOvc,0.0064516129032258064,20446.0,,
37OIcrcXpeM,0.006505376344086021,830.0,1289.0,459.0
4bsytNOQQJk,0.08834746941045606,1102.0,2514.0,1412.0
5HjSxNJ_yFY,0.04166666666666667,88417.0,88871.0,454.0
5U9VcRyi99A,0.01489247311827957,885.0,1621.0,736.0
6EyYh-9fuNM,0.19551882593213238,858.0,2632.0,1774.0
8s_fOeffgx0,0.4068100358422939,91.0,6207.0,6116.0
AygL2pfJPC8,0.07481320809861375,15739.0,16223.0,484.0
DOn_JO_oXqQ,0.8413978494623656,8068.0,26698.0,18630.0
EWLSiWqlh4Y,0.05381720430107527,4190.0,,
F4Mr7OnHq1w,0.19319101292509247,979.0,3985.0,3006.0
G3Bkz_ytrzY,0.0689247311827957,1435.0,2414.0,979.0
K8pwQBWeCI8,0.7191894127377998,394.0,12923.0,12529.0
Mx6Rvm-XhWM,0.05093082761704462,334.0,2045.0,1711.0
RVlB7s9uXD0,0.06593732842838262,490.0,3657.0,3167.0
UCpAMjfSMtM,0.1406655543196144,121.0,3120.0,2999.0
Vd6VqadIQlE,0.24252688172043008,1254.0,6089.0,4835.0
ZeCRJDWJg5U,0.08410138248847926,59.0,8331.0,8272.0
ZtlHmXUobVU,0.22516129032258064,1682.0,5567.0,3885.0
a8PrkqVWt_s,0.0016129032258064516,16324.0,16935.0,611.0
b3IuZjYub4I,0.16129032258064516,31.0,154.0,123.0
cxaRT7IFA64,0.061989247311827964,1617.0,2843.0,1226.0
gIPHAF5Uu_8,0.14285714285714285,28.0,1525.0,1497.0
gRNQkeddOeo,0.011397849462365592,31844.0,32427.0,583.0
jdSgTZZ0CQI,0.07935730743910467,211.0,1835.0,1624.0
nM0Og0nVMeU,0.11268817204301074,1257.0,2946.0,1689.0
p4z6jOQmyQo,0.1686559139784946,1157.0,1952.0,795.0
q7oYm4P9UKc,0.02274193548387097,47587.0,50601.0,3014.0
sLqrRTf1-XI,0.04851347348975432,516.0,1469.0,953.0
u-GJksRVVfk,0.06883134037819799,886.0,1466.0,580.0
vka7zBhOFxM,0.22833333333333333,1159.0,3483.0,2324.0
