video_id,peak_rate_per_sec,time_to_peak_sec,drop_time_sec,peak_duration_sec
-i2fw_fc_k4,0.01629032258064516,23142.0,23359.0,217.0
0aPSqjpStFE,0.014569892473118278,16782.0,17119.0,337.0
1CT3atvZqHs,0.0,30.0,,
1RY_UbM3BeY,0.02129032258064516,16691.0,17119.0,428.0
29PJAtTCfTg,0.0016129032258064516,17797.0,19026.0,1229.0
2bQvAoOJKXs,0.03225806451612903,31.0,93.0,62.0
4Ywj9zlQKu4,0.016308243727598565,367.0,918.0,551.0
4efBucgCJMo,0.0,31.0,,
5JXow_TjUfk,0.0,31.0,,
6iUui4UvR3c,0.0016666666666666666,13429.0,13460.0,31.0
7ROmNOXsuvU,0.0,31.0,,
9JHm9Bt2eoY,0.024354838709677418,1045.0,1661.0,616.0
B3rSJMyoE08,0.011397849462365592,12227.0,12659.0,432.0
CZvx13gRq5Q,0.0,31.0,,
DDzU2lYL9Ec,0.0016129032258064516,48695.0,49309.0,614.0
DS2n8ekgJwQ,0.006559139784946236,2860.0,3445.0,585.0
E8A-KBzxFKk,0.0,30.0,,
EX0sFZZ-0M4,0.009255112703388566,212.0,457.0,245.0
F3fQBxM0jeo,0.0,31.0,,
FmG2jDa7wrg,0.0016129032258064516,48849.0,49463.0,614.0
KiR2cEYVY2k,0.005376344086021505,184.0,399.0,215.0
MKYqc0u8-N4,0.10714285714285714,28.0,334.0,306.0
MnNF5wdXWQw,1.4666666666666666,30.0,182.0,152.0
MyByrX_tA4g,0.03225806451612903,31.0,92.0,61.0
MzJsQfJ1fFM,0.22580645161290322,31.0,246.0,215.0
NCQhVKZ__Uw,0.05114942528735632,59.0,365.0,306.0
NGz8ioQFuJY,0.03935483870967742,1074.0,1964.0,890.0
PWoyUhq7qxM,0.0016129032258064516,2464.0,3079.0,615.0
SQgoRgTuTPo,0.0,30.0,,
Sh8jcTbauTM,0.0,31.0,,
SyW26Q5L-VU,0.029411764705882353,34.0,92.0,58.0
U1tUvYHqgFM,0.15591397849462366,122.0,704.0,582.0
UMDt2BMkmao,0.0016666666666666666,28736.0,29351.0,615.0
WpHaNCa6O_g,0.0,150.0,,
XYOxxdcrdO8,0.0016666666666666666,34762.0,35378.0,616.0
XbYBSjt4QUA,0.1669852648347272,88.0,978.0,890.0
YS3SNHOhzBk,0.0,30.0,,
_eTBY6n-ND8,0.09483870967741935,1897.0,2448.0,551.0
a0G6alIlZEU,0.009892473118279569,9927.0,10234.0,307.0
borE_ZaTSUk,0.0,150.0,,
cROwzqGYWh8,0.0016129032258064516,16077.0,16691.0,614.0
ejjwYF5b4dQ,0.0967741935483871,31.0,214.0,183.0
eqQ7wSYhhGg,0.0032258064516129032,11240.0,11857.0,617.0
f03vMXJoNN8,0.06666666666666667,30.0,120.0,90.0
fexJhwaE7PA,0.0016129032258064516,17766.0,18381.0,615.0
fz2c4Strruw,0.0,30.0,,
gGL6lW7Shn8,0.0,30.0,,
hMHGn3Ptnrk,0.03571428571428571,28.0,243.0,215.0
hSDv9c0QPfw,0.0,150.0,,
hpZUuDWBAbU,0.014695340501792116,275.0,582.0,307.0
lxNeD0qjFlU,0.008225806451612904,31238.0,31662.0,424.0
mO0SgnG5Nyw,0.0016666666666666666,13337.0,13952.0,615.0
oWLpviRCvQE,0.0579004329004329,85.0,1311.0,1226.0
p1_MdR0H5bI,0.0,31.0,,
r-B-pkXT7QM,0.03333333333333333,30.0,89.0,59.0
seJE7blnZqQ,0.0,150.0,,
wggZpEfnPlY,0.006559139784946236,40055.0,40515.0,460.0
x9R3e8DlmvU,0.0016129032258064516,16447.0,17058.0,611.0
xRvYVonXkCk,0.012903225806451613,154.0,338.0,184.0
yJ5uuM2J8QM,0.03741935483870967,22528.0,22835.0,307.0
z9o54vszbtA,0.0,30.0,,
zLNBEjKsPe4,0.03495633375708459,429.0,1502.0,1073.0
