video_id,peak_rate_per_sec,time_to_peak_sec,drop_time_sec,peak_duration_sec
-i2fw_fc_k4,0.06317204301075267,13307.0,13676.0,369.0
0aPSqjpStFE,0.017903225806451612,20900.0,21944.0,1044.0
1CT3atvZqHs,0.0,30.0,,
1RY_UbM3BeY,0.055053763440860215,15400.0,16844.0,1444.0
22Bbrns2tdg,0.0,30.0,,
25nXjfAtOvc,0.003279569892473118,707.0,1322.0,615.0
29PJAtTCfTg,0.006559139784946236,20869.0,21269.0,400.0
2bQvAoOJKXs,0.0967741935483871,31.0,739.0,708.0
4Ywj9zlQKu4,0.13580645161290322,1346.0,4072.0,2726.0
4efBucgCJMo,0.0,31.0,,
4fdIMlSyeSw,0.0016129032258064516,38614.0,39228.0,614.0
4gF6vKm58DQ,0.003279569892473118,18227.0,18842.0,615.0
4pEZfLNBX0k,0.0016129032258064516,6283.0,6899.0,616.0
5JXow_TjUfk,0.0,31.0,,
5U9VcRyi99A,0.0016129032258064516,1111.0,1727.0,616.0
6iUui4UvR3c,0.016129032258064516,61.0,154.0,93.0
6jqbNbMqlTg,0.00978494623655914,14474.0,14721.0,247.0
7ROmNOXsuvU,0.0,31.0,,
7hBz-3QAyNo,0.003279569892473118,34762.0,35378.0,616.0
9JHm9Bt2eoY,0.160921357790428,1137.0,4182.0,3045.0
AZT2x9oTFMk,0.0,30.0,,
B3rSJMyoE08,0.03333333333333333,30.0,92.0,62.0
CZvx13gRq5Q,0.0,31.0,,
DDzU2lYL9Ec,0.003279569892473118,2708.0,3324.0,616.0
DS2n8ekgJwQ,0.018010752688172045,889.0,1811.0,922.0
DdQ1FUbEGRI,0.0,30.0,,
DiH9ysmVJ64,0.0,30.0,,
Dr5oBgurswI,0.0064516129032258064,13061.0,13552.0,491.0
E8A-KBzxFKk,0.003279569892473118,4588.0,5204.0,616.0
EMyUJXoJMms,0.0,30.0,,
EX0sFZZ-0M4,0.06458678571483649,212.0,1380.0,1168.0
F3fQBxM0jeo,0.0,31.0,,
FmG2jDa7wrg,0.003279569892473118,4709.0,5326.0,617.0
GRNldVhEymA,0.00978494623655914,4985.0,,
HsPvJlfPUd8,0.006559139784946236,10993.0,11518.0,525.0
IAczCdR15fE,0.0016129032258064516,19148.0,19766.0,618.0
IHerbNj5Go0,0.0,30.0,,
IJ5z80qXoP0,0.027741935483870966,3508.0,4093.0,585.0
JljMU5fxk2w,0.006505376344086021,27415.0,27815.0,400.0
KBQg85Tben4,0.00489247311827957,21728.0,21789.0,61.0
KiR2cEYVY2k,0.008172043010752689,8431.0,8924.0,493.0
L-ZgqTudq-4,0.0049462365591397845,13521.0,13890.0,369.0
MKYqc0u8-N4,0.23185531874039939,854.0,6242.0,5388.0
