video_id,peak_rate_per_sec,time_to_peak_sec,drop_time_sec,peak_duration_sec
-i2fw_fc_k4,4.206720430107528,24992.0,25577.0,585.0
0aPSqjpStFE,4.080645161290323,61.0,154.0,93.0
1CT3atvZqHs,0.016129032258064516,61.0,,
1RY_UbM3BeY,6.166451612903226,24869.0,25484.0,615.0
22Bbrns2tdg,0.028333333333333332,18627.0,18658.0,31.0
25nXjfAtOvc,0.16838709677419353,5841.0,6149.0,308.0
29PJAtTCfTg,0.2803225806451613,25052.0,25361.0,309.0
2bQvAoOJKXs,4.410268817204301,30403.0,30742.0,339.0
4Ywj9zlQKu4,5.503440860215054,1255.0,3643.0,2388.0
4efBucgCJMo,0.005765027322404372,303.0,,
4fdIMlSyeSw,0.0564516129032258,8873.0,9303.0,430.0
4gF6vKm58DQ,0.09,47464.0,48173.0,709.0
4pEZfLNBX0k,0.10166666666666666,44939.0,45555.0,616.0
5JXow_TjUfk,0.01,181.0,,
5U9VcRyi99A,0.16129032258064516,31.0,154.0,123.0
6iUui4UvR3c,2.1129032258064515,61.0,154.0,93.0
6jqbNbMqlTg,0.6306451612903226,15830.0,16447.0,617.0
7ROmNOXsuvU,0.009863387978142077,303.0,,
7hBz-3QAyNo,0.10483870967741934,12906.0,13583.0,677.0
9JHm9Bt2eoY,3.10670742849111,1230.0,2798.0,1568.0
AZT2x9oTFMk,0.06666666666666667,30.0,92.0,62.0
B3rSJMyoE08,5.645161290322581,61.0,154.0,93.0
CZvx13gRq5Q,0.01981785063752277,242.0,,
DDzU2lYL9Ec,0.15489247311827956,48879.0,49278.0,399.0
DS2n8ekgJwQ,0.5489247311827957,1657.0,2336.0,679.0
DdQ1FUbEGRI,0.015,41686.0,42209.0,523.0
DiH9ysmVJ64,0.045,49063.0,50017.0,954.0
Dr5oBgurswI,0.12412285744703504,51452.0,,
E8A-KBzxFKk,0.06962365591397848,4680.0,4772.0,92.0
EMyUJXoJMms,0.05,45831.0,46447.0,616.0
EX0sFZZ-0M4,2.231774193548387,31106.0,31414.0,308.0
F3fQBxM0jeo,0.0076867030965391625,242.0,,
FmG2jDa7wrg,0.11467741935483869,30458.0,30797.0,339.0
GRNldVhEymA,0.1472043010752688,2587.0,,
