captured_at,video_id,channel_id,title,published_at,view_count,like_count,comment_count
2026-04-09T18:22:37+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,0,100,34
2026-04-09T18:23:07+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,125,197,78
2026-04-09T18:23:37+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,320,269,115
2026-04-09T18:24:07+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,685,335,136
2026-04-09T18:24:39+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,1514,387,145
2026-04-09T18:25:08+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,1514,428,154
2026-04-09T18:25:39+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,2347,474,162
2026-04-09T18:26:09+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,3167,509,172
2026-04-09T18:26:40+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,4153,556,183
2026-04-09T18:27:10+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,4566,609,192
2026-04-09T18:27:41+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,4978,646,194
2026-04-09T18:28:12+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,6005,681,198
2026-04-09T18:28:42+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,6010,721,201
2026-04-09T18:29:13+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,6461,765,209
2026-04-09T18:29:44+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,7520,819,213
2026-04-09T18:30:14+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,7822,863,216
2026-04-09T18:30:45+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,9323,894,215
2026-04-09T18:31:16+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,9725,931,217
2026-04-09T18:31:46+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,10790,964,220
2026-04-09T18:32:17+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,11263,1006,226
2026-04-09T18:32:48+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,11429,1039,234
2026-04-09T18:33:18+00:00,MnNF5wdXWQw,UCQHX6ViZmPsWiYSFAyS0a3Q,ABSOLUTELY UNBELIEVABLE. HE ACTUALLY WON AGAIN!!!!!!!!!!!!!,2026-04-09T18:22:01Z,12224,1073,237
