video_id,peak_rate_views_per_sec,time_to_peak_sec,drop_time_sec,peak_duration_sec
2bQvAoOJKXs,4.410268817204301,30403.0,30742.0,339.0
4Ywj9zlQKu4,5.503440860215054,1255.0,3643.0,2388.0
9JHm9Bt2eoY,3.10670742849111,1230.0,2798.0,1568.0
EX0sFZZ-0M4,2.231774193548387,31106.0,31414.0,308.0
MKYqc0u8-N4,14.209086021505376,11022.0,11636.0,614.0
MyByrX_tA4g,1.1574193548387097,31874.0,32243.0,369.0
MzJsQfJ1fFM,29.058118279569896,35311.0,35649.0,338.0
NCQhVKZ__Uw,0.8727575146627566,732.0,1620.0,888.0
NGz8ioQFuJY,40.94129032258064,37304.0,37919.0,615.0
SyW26Q5L-VU,0.4771505376344086,826.0,1837.0,1011.0
U1tUvYHqgFM,27.544301075268816,1133.0,4989.0,3856.0
XbYBSjt4QUA,17.94188172043011,11016.0,13475.0,2459.0
_eTBY6n-ND8,18.15430107526882,948.0,2969.0,2021.0
a0G6alIlZEU,1.432258064516129,29877.0,30215.0,338.0
ejjwYF5b4dQ,4.536570094718036,857.0,2142.0,1285.0
f03vMXJoNN8,5.146881720430107,30860.0,31783.0,923.0
hMHGn3Ptnrk,3.4419892473118283,37362.0,38255.0,893.0
hpZUuDWBAbU,1.3911827956989247,19763.0,21885.0,2122.0
oWLpviRCvQE,5.127015601939701,698.0,1649.0,951.0
r-B-pkXT7QM,0.8910215053763441,31260.0,31567.0,307.0
zLNBEjKsPe4,2.4658064516129032,35279.0,35617.0,338.0
