captured_at,video_id,channel_id,title,published_at,view_count,like_count,comment_count
2026-03-07T00:12:25+00:00,gIPHAF5Uu_8,UCWJ2lWNubArHWmf3FIHbfcQ,Tatum takes the floor ahead of his season debut 👏,2026-03-07T00:11:31Z,0,6,2
2026-03-07T00:12:53+00:00,gIPHAF5Uu_8,UCWJ2lWNubArHWmf3FIHbfcQ,Tatum takes the floor ahead of his season debut 👏,2026-03-07T00:11:31Z,2,10,3
2026-03-07T00:13:26+00:00,cxaRT7IFA64,UCWJ2lWNubArHWmf3FIHbfcQ,“I’m just excited to be back at work” 🤩,2026-03-07T00:12:31Z,0,4,1
2026-03-07T00:13:26+00:00,gIPHAF5Uu_8,UCWJ2lWNubArHWmf3FIHbfcQ,Tatum takes the floor ahead of his season debut 👏,2026-03-07T00:11:31Z,23,14,3
2026-03-07T00:13:54+00:00,u-GJksRVVfk,UCWJ2lWNubArHWmf3FIHbfcQ,TD Garden is decked out in these tees ☘️,2026-03-07T00:12:50Z,0,2,0
2026-03-07T00:13:54+00:00,cxaRT7IFA64,UCWJ2lWNubArHWmf3FIHbfcQ,“I’m just excited to be back at work” 🤩,2026-03-07T00:12:31Z,1,5,1
2026-03-07T00:13:54+00:00,gIPHAF5Uu_8,UCWJ2lWNubArHWmf3FIHbfcQ,Tatum takes the floor ahead of his season debut 👏,2026-03-07T00:11:31Z,41,17,3
2026-03-07T00:14:27+00:00,u-GJksRVVfk,UCWJ2lWNubArHWmf3FIHbfcQ,TD Garden is decked out in these tees ☘️,2026-03-07T00:12:50Z,0,2,0
2026-03-07T00:14:27+00:00,cxaRT7IFA64,UCWJ2lWNubArHWmf3FIHbfcQ,“I’m just excited to be back at work” 🤩,2026-03-07T00:12:31Z,4,4,1
2026-03-07T00:14:27+00:00,gIPHAF5Uu_8,UCWJ2lWNubArHWmf3FIHbfcQ,Tatum takes the floor ahead of his season debut 👏,2026-03-07T00:11:31Z,44,20,3
2026-03-07T00:14:55+00:00,u-GJksRVVfk,UCWJ2lWNubArHWmf3FIHbfcQ,TD Garden is decked out in these tees ☘️,2026-03-07T00:12:50Z,5,3,0
