captured_at,video_id,channel_id,title,published_at,view_count,like_count,comment_count
2026-03-24T18:04:47+00:00,8s_fOeffgx0,UCB_qr75-ydFVKSF9Dmo6izg,Who Remembers These Little Icons? 👏,2026-03-24T17:49:42Z,2760,208,10
2026-03-24T18:04:47+00:00,5HjSxNJ_yFY,UCB_qr75-ydFVKSF9Dmo6izg,It Was All Quiet Until... 🤧😂,2026-03-23T16:30:03Z,147157,6571,75
2026-03-24T18:05:17+00:00,8s_fOeffgx0,UCB_qr75-ydFVKSF9Dmo6izg,Who Remembers These Little Icons? 👏,2026-03-24T17:49:42Z,2837,217,10
2026-03-24T18:05:17+00:00,5HjSxNJ_yFY,UCB_qr75-ydFVKSF9Dmo6izg,It Was All Quiet Until... 🤧😂,2026-03-23T16:30:03Z,147174,6571,75
2026-03-24T18:05:48+00:00,8s_fOeffgx0,UCB_qr75-ydFVKSF9Dmo6izg,Who Remembers These Little Icons? 👏,2026-03-24T17:49:42Z,2933,229,10
2026-03-24T18:05:48+00:00,5HjSxNJ_yFY,UCB_qr75-ydFVKSF9Dmo6izg,It Was All Quiet Until... 🤧😂,2026-03-23T16:30:03Z,147174,6571,75
2026-03-24T18:06:18+00:00,8s_fOeffgx0,UCB_qr75-ydFVKSF9Dmo6izg,Who Remembers These Little Icons? 👏,2026-03-24T17:49:42Z,3103,245,11
2026-03-24T18:06:18+00:00,5HjSxNJ_yFY,UCB_qr75-ydFVKSF9Dmo6izg,It Was All Quiet Until... 🤧😂,2026-03-23T16:30:03Z,147174,6571,75
2026-03-24T18:06:48+00:00,8s_fOeffgx0,UCB_qr75-ydFVKSF9Dmo6izg,Who Remembers These Little Icons? 👏,2026-03-24T17:49:42Z,3187,256,13
2026-03-24T18:06:48+00:00,5HjSxNJ_yFY,UCB_qr75-ydFVKSF9Dmo6izg,It Was All Quiet Until... 🤧😂,2026-03-23T16:30:03Z,147174,6572,75
2026-03-24T18:07:19+00:00,8s_fOeffgx0,UCB_qr75-ydFVKSF9Dmo6izg,Who Remembers These Little Icons? 👏,2026-03-24T17:49:42Z,3206,262,13
2026-03-24T18:07:19+00:00,5HjSxNJ_yFY,UCB_qr75-ydFVKSF9Dmo6izg,It Was All Quiet Until... 🤧😂,2026-03-23T16:30:03Z,147174,6572,75
2026-03-24T18:07:49+00:00,8s_fOeffgx0,UCB_qr75-ydFVKSF9Dmo6izg,Who Remembers These Little Icons? 👏,2026-03-24T17:49:42Z,3348,268,13
2026-03-24T18:07:49+00:00,5HjSxNJ_yFY,UCB_qr75-ydFVKSF9Dmo6izg,It Was All Quiet Until... 🤧😂,2026-03-23T16:30:03Z,147174,6572,75
2026-03-24T18:08:19+00:00,8s_fOeffgx0,UCB_qr75-ydFVKSF9Dmo6izg,Who Remembers These Little Icons? 👏,2026-03-24T17:49:42Z,3508,276,13
2026-03-24T18:08:19+00:00,5HjSxNJ_yFY,UCB_qr75-ydFVKSF9Dmo6izg,It Was All Quiet Until... 🤧😂,2026-03-23T16:30:03Z,147174,6575,75
2026-03-24T18:08:49+00:00,8s_fOeffgx0,UCB_qr75-ydFVKSF9Dmo6izg,Who Remembers These Little Icons? 👏,2026-03-24T17:49:42Z,3592,284,13
2026-03-24T18:08:49+00:00,5HjSxNJ_yFY,UCB_qr75-ydFVKSF9Dmo6izg,It Was All Quiet Until... 🤧😂,2026-03-23T16:30:03Z,147174,6576,75
2026-03-24T18:09:20+00:00,8s_fOeffgx0,UCB_qr75-ydFVKSF9Dmo6izg,Who Remembers These Little Icons? 👏,2026-03-24T17:49:42Z,3592,292,13
2026-03-24T18:09:20+00:00,5HjSxNJ_yFY,UCB_qr75-ydFVKSF9Dmo6izg,It Was All Quiet Until... 🤧😂,2026-03-23T16:30:03Z,147174,6578,75
2026-03-24T18:09:50+00:00,8s_fOeffgx0,UCB_qr75-ydFVKSF9Dmo6izg,Who Remembers These Little Icons? 👏,2026-03-24T17:49:42Z,3780,298,13
2026-03-24T18:09:50+00:00,5HjSxNJ_yFY,UCB_qr75-ydFVKSF9Dmo6izg,It Was All Quiet Until... 🤧😂,2026-03-23T16:30:03Z,147488,6578,75
