captured_at,video_id,channel_id,title,published_at,view_count,like_count,comment_count
2026-03-23T08:54:09+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,16811,139,13
2026-03-23T08:54:09+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3874,119,5
2026-03-23T08:54:09+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T08:54:39+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,16811,139,13
2026-03-23T08:54:39+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3874,119,5
2026-03-23T08:54:39+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T08:55:10+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,16811,139,13
2026-03-23T08:55:10+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3874,119,5
2026-03-23T08:55:10+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T08:55:41+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,16811,139,13
2026-03-23T08:55:41+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3874,119,5
2026-03-23T08:55:41+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T08:56:12+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,16919,139,13
2026-03-23T08:56:12+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3874,119,5
2026-03-23T08:56:12+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T08:56:43+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,16919,139,13
2026-03-23T08:56:43+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3874,119,5
2026-03-23T08:56:43+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T08:57:14+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,16919,139,13
2026-03-23T08:57:14+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3874,119,5
2026-03-23T08:57:14+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T08:57:44+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,16919,139,13
2026-03-23T08:57:44+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3874,119,5
2026-03-23T08:57:44+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T08:58:15+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,16919,139,13
2026-03-23T08:58:15+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3874,119,5
2026-03-23T08:58:15+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T08:58:45+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,16919,139,13
2026-03-23T08:58:45+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3874,119,5
2026-03-23T08:58:45+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T08:59:16+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,16919,139,13
2026-03-23T08:59:16+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3910,119,5
2026-03-23T08:59:16+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T08:59:47+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,16919,139,13
2026-03-23T08:59:47+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3910,120,5
2026-03-23T08:59:47+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T09:00:18+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,16919,139,13
2026-03-23T09:00:18+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3910,120,5
2026-03-23T09:00:18+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T09:00:49+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,16919,139,13
2026-03-23T09:00:49+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3910,120,5
2026-03-23T09:00:49+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T09:01:19+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,16919,139,13
2026-03-23T09:01:19+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3910,120,5
2026-03-23T09:01:19+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T09:01:50+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,17023,139,13
2026-03-23T09:01:50+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3910,120,5
2026-03-23T09:01:50+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T09:02:21+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,17023,139,13
2026-03-23T09:02:21+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3910,120,5
2026-03-23T09:02:21+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T09:02:51+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,17023,139,13
2026-03-23T09:02:51+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3910,120,5
2026-03-23T09:02:51+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T09:03:22+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,17023,139,13
2026-03-23T09:03:22+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3910,120,5
2026-03-23T09:03:22+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T09:03:53+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,17023,139,13
2026-03-23T09:03:53+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3910,120,5
2026-03-23T09:03:53+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T09:04:24+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,17023,139,13
2026-03-23T09:04:24+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3937,120,5
2026-03-23T09:04:24+00:00,a8PrkqVWt_s,UCKjEtnnXEHsXE9IvCb92V7g,Tony Delk breaks down the difference in the 2025 and 2026 Florida guards. #MarchMadness,2026-03-23T01:13:03Z,1936,7,1
2026-03-23T09:04:55+00:00,q7oYm4P9UKc,UCKjEtnnXEHsXE9IvCb92V7g,100 gorillas vs. Florida Final Boss? 🦍🐊 #shorts,2026-03-23T03:39:28Z,17023,139,13
2026-03-23T09:04:55+00:00,gRNQkeddOeo,UCKjEtnnXEHsXE9IvCb92V7g,“I would light this thing on fire” 🔥🤣,2026-03-23T02:03:26Z,3937,120,5
