captured_at,video_id,channel_id,title,published_at,duration_seconds,view_count,like_count,comment_count
2026-03-23T08:54:09+00:00,22Bbrns2tdg,UCKjEtnnXEHsXE9IvCb92V7g,Press Conference: Michigan vs. NC State Postgame (2026 Women's Second Round),2026-03-23T08:20:03Z,4050,1014,10,
2026-03-23T08:54:09+00:00,dcpnPS5gS34,UCKjEtnnXEHsXE9IvCb92V7g,Press Conference: Iowa vs. Virginia Pregame (2026 Women's Second Round),2026-03-23T08:11:23Z,4936,683,7,
2026-03-23T08:54:09+00:00,DdQ1FUbEGRI,UCKjEtnnXEHsXE9IvCb92V7g,Press Conference: Vanderbilt vs. Illinois Pregame (2026 Women's Second Round),2026-03-23T08:03:36Z,5476,186,1,
2026-03-23T08:54:09+00:00,gYn-ZEVYL4U,UCKjEtnnXEHsXE9IvCb92V7g,Press Conference: North Carolina vs. Maryland Postgame (2026 Women's Second Round),2026-03-23T07:35:12Z,5365,415,1,
2026-03-23T08:54:09+00:00,sm_xidnEfEc,UCKjEtnnXEHsXE9IvCb92V7g,Press Conference: Purdue vs. Miami Postgame (2026 Men's Second Round),2026-03-23T07:13:15Z,2520,860,8,
2026-03-23T08:54:09+00:00,4pEZfLNBX0k,UCKjEtnnXEHsXE9IvCb92V7g,Press Conference: UConn vs. Syracuse Pregame (2026 Women's Second Round),2026-03-23T07:07:32Z,5900,635,3,
2026-03-23T08:54:09+00:00,DiH9ysmVJ64,UCKjEtnnXEHsXE9IvCb92V7g,Press Conference: Ohio State vs. Notre Dame Pregame (2026 Women's Second Round),2026-03-23T06:54:20Z,5200,381,5,
2026-03-23T08:54:09+00:00,IHerbNj5Go0,UCKjEtnnXEHsXE9IvCb92V7g,Press Conference: South Carolina vs. USC Pregame (2026 Women's Second Round),2026-03-23T06:51:07Z,5101,303,5,
2026-03-23T08:54:09+00:00,yxox1VRl8LM,UCKjEtnnXEHsXE9IvCb92V7g,Press Conference: Louisville vs. Alabama Pregame (2026 Women's Second Round),2026-03-23T06:51:06Z,3795,254,3,
2026-03-23T08:54:09+00:00,EMyUJXoJMms,UCKjEtnnXEHsXE9IvCb92V7g,Press Conference: Louisville vs. Alabama Postgame (2026 Women's Second Round),2026-03-23T06:44:23Z,4691,105,1,
2026-03-23T08:54:09+00:00,tpyNOAsmKf4,UCKjEtnnXEHsXE9IvCb92V7g,Press Conference: West Virginia vs. Kentucky Pregame (2026 Women's Second Round),2026-03-23T06:40:15Z,4416,118,1,
2026-03-23T08:54:09+00:00,4fdIMlSyeSw,UCKjEtnnXEHsXE9IvCb92V7g,Press Conference: TCU vs. Washington Postgame (2026 Women's Second Round),2026-02-27T02:52:33Z,3086,764,10,
2026-03-23T08:54:09+00:00,fWgAydjq36A,UCKjEtnnXEHsXE9IvCb92V7g,TCU Postgame Press Conference (2026 Women's Second Round),2026-03-23T05:26:04Z,1216,250,7,
2026-03-23T08:54:09+00:00,4gF6vKm58DQ,UCKjEtnnXEHsXE9IvCb92V7g,Washington Postgame Press Conference (2026 Women's Second Round),2026-03-23T05:25:20Z,635,188,7,
2026-03-23T08:54:09+00:00,N0J1af7kwo0,UCKjEtnnXEHsXE9IvCb92V7g,Press Conference: Alabama vs. Texas Tech Postgame (2026 Men's Second Round),2026-03-01T03:09:21Z,3517,814,19,
2026-03-23T08:54:09+00:00,L-ZgqTudq-4,UCKjEtnnXEHsXE9IvCb92V7g,Texas Tech Postgame Press Conference (2026 Men's Second Round),2026-03-23T05:17:08Z,601,400,8,
2026-03-23T08:54:09+00:00,Dr5oBgurswI,UCKjEtnnXEHsXE9IvCb92V7g,Alabama Postgame Press Conference (2026 Men's Second Round),2026-03-23T05:15:52Z,1536,491,16,
2026-03-23T08:54:09+00:00,DDzU2lYL9Ec,UCKjEtnnXEHsXE9IvCb92V7g,All 19 Alabama three-pointers vs. Texas Tech in March Madness second round,2026-03-23T04:42:17Z,252,592,10,3
2026-03-23T08:54:09+00:00,FmG2jDa7wrg,UCKjEtnnXEHsXE9IvCb92V7g,TCU vs. Washington - Second round NCAA tournament extended highlights,2026-03-23T04:36:37Z,689,1043,22,8
2026-03-23T08:54:09+00:00,gG-6DbREdL8,UCKjEtnnXEHsXE9IvCb92V7g,UCLA Postgame Press Conference (2026 Men's Second Round),2026-03-23T04:36:29Z,765,1157,13,
2026-03-23T08:54:09+00:00,R1JDQcEW86A,UCKjEtnnXEHsXE9IvCb92V7g,Press Conference: UConn vs. UCLA Postgame (2026 Men's Second Round),2026-03-01T03:08:49Z,3481,2471,47,
2026-03-23T08:54:09+00:00,-i2fw_fc_k4,UCKjEtnnXEHsXE9IvCb92V7g,Alabama vs. Texas Tech - Second round NCAA tournament extended highlights,2026-03-23T04:35:23Z,621,17326,293,43
2026-03-23T08:54:09+00:00,6jqbNbMqlTg,UCKjEtnnXEHsXE9IvCb92V7g,UConn Postgame Press Conference (2026 Men's Second Round),2026-03-23T04:25:31Z,860,1544,43,
2026-03-23T08:54:09+00:00,XYOxxdcrdO8,UCKjEtnnXEHsXE9IvCb92V7g,Alex Karaban nets career-high 27 points over UCLA in March Madness second round,2026-03-23T04:02:22Z,114,296,7,1
2026-03-23T08:54:09+00:00,B3rSJMyoE08,UCKjEtnnXEHsXE9IvCb92V7g,UConn vs. UCLA - Second round NCAA tournament extended highlights,2026-03-23T03:42:45Z,449,26484,276,45
2026-03-23T08:54:09+00:00,iemuoPIN2z4,UCKjEtnnXEHsXE9IvCb92V7g,Oklahoma Postgame Press Conference (2026 Women's Second Round),2026-03-23T03:36:37Z,1191,348,11,
2026-03-23T08:54:09+00:00,JljMU5fxk2w,UCKjEtnnXEHsXE9IvCb92V7g,Utah State Postgame Press Conference (2026 Men's Second Round),2026-03-23T03:24:28Z,1155,2411,45,
2026-03-23T08:54:09+00:00,N-dwYVVn5bA,UCKjEtnnXEHsXE9IvCb92V7g,Press Conference: Arizona vs. Utah State Postgame (2026 Men's Second Round),2026-03-01T03:09:03Z,2952,2007,33,
2026-03-23T08:54:09+00:00,r19ahcaGGM0,UCKjEtnnXEHsXE9IvCb92V7g,Michigan State Postgame Press Conference (2026 Women's Second Round),2026-03-23T03:11:36Z,846,280,9,
2026-03-23T08:54:09+00:00,zIcvqiksIqQ,UCKjEtnnXEHsXE9IvCb92V7g,Arizona Postgame Press Conference (2026 Men's Second Round),2026-03-23T03:04:21Z,806,4294,92,
2026-03-23T08:54:09+00:00,cR85BeJ9WQc,UCKjEtnnXEHsXE9IvCb92V7g,Press Conference: Oklahoma vs. Michigan State Postgame (2026 Women's Second Round),2026-02-27T02:51:59Z,2541,475,4,
2026-03-23T08:54:09+00:00,fexJhwaE7PA,UCKjEtnnXEHsXE9IvCb92V7g,Virginia vs. Arizona State: 2026 NCAA women's First Four | FULL REPLAY,2026-03-23T03:00:43Z,5883,294,6,0
2026-03-23T08:54:09+00:00,wggZpEfnPlY,UCKjEtnnXEHsXE9IvCb92V7g,Arizona vs. Utah State - Second round NCAA tournament extended highlights,2026-03-23T02:45:31Z,582,42740,470,79
2026-03-23T08:54:09+00:00,z9o54vszbtA,UCKjEtnnXEHsXE9IvCb92V7g,Tamin Lipsey scores 26 points over Kentucky in March Madness second round,2026-03-23T02:34:52Z,194,251,6,0
2026-03-23T08:54:09+00:00,29PJAtTCfTg,UCKjEtnnXEHsXE9IvCb92V7g,Oklahoma vs. Michigan State - Second round NCAA tournament extended highlights,2026-03-23T02:32:40Z,810,3526,56,1
2026-03-23T08:54:09+00:00,nlVr2BG1rm8,UCKjEtnnXEHsXE9IvCb92V7g,Florida Postgame Press Conference (2026 Men's Second Round),2026-03-23T02:29:56Z,916,13959,142,
2026-03-23T08:54:09+00:00,avk7uztNIiw,UCKjEtnnXEHsXE9IvCb92V7g,Press Conference: Florida vs. Iowa Postgame (2026 Men's Second Round),2026-03-01T03:09:17Z,2977,7786,68,
2026-03-23T08:54:09+00:00,ogZyC848o9Y,UCKjEtnnXEHsXE9IvCb92V7g,Iowa Postgame Press Conference (2026 Men's Second Round),2026-03-23T02:27:19Z,1021,12300,241,
2026-03-23T08:54:09+00:00,cROwzqGYWh8,UCKjEtnnXEHsXE9IvCb92V7g,The Fast Break guys break down how Iowa knocked off the defending champs. #MarchMadness,2026-03-23T02:20:50Z,85,5871,127,5
2026-03-23T08:54:09+00:00,0aPSqjpStFE,UCKjEtnnXEHsXE9IvCb92V7g,DEFENDING CHAMPS OUT: Iowa stuns No. 1 Florida in March Madness second round,2026-03-23T02:00:02Z,814,57670,492,121
2026-03-23T08:54:09+00:00,1RY_UbM3BeY,UCKjEtnnXEHsXE9IvCb92V7g,Iowa vs. Florida - Second round NCAA tournament extended highlights,2026-03-23T01:50:06Z,472,104312,1087,325
2026-03-23T08:54:09+00:00,yJ5uuM2J8QM,UCKjEtnnXEHsXE9IvCb92V7g,INTENSE Tennessee-Virginia final minutes in March Madness second round,2026-03-23T01:47:58Z,977,82647,523,68
2026-03-23T08:54:09+00:00,6iUui4UvR3c,UCKjEtnnXEHsXE9IvCb92V7g,Kansas' full comeback vs. St. John's before UNREAL buzzer-beater,2026-03-23T01:42:47Z,1820,15172,113,13
2026-03-23T08:54:09+00:00,HsPvJlfPUd8,UCKjEtnnXEHsXE9IvCb92V7g,Virginia Postgame Press Conference (2026 Men's Second Round),2026-03-23T01:31:27Z,1011,1862,41,
2026-03-23T08:54:09+00:00,IAczCdR15fE,UCKjEtnnXEHsXE9IvCb92V7g,Press Conference: Virginia vs. Tennessee Postgame (2026 Men's Second Round),2026-03-01T03:08:43Z,2898,1534,24,
2026-03-23T08:54:09+00:00,cmjLA3hokzI,UCKjEtnnXEHsXE9IvCb92V7g,Tennessee Postgame Press Conference (2026 Men's Second Round),2026-03-23T01:27:20Z,851,1761,44,
2026-03-23T08:54:09+00:00,7hBz-3QAyNo,UCKjEtnnXEHsXE9IvCb92V7g,Oregon Postgame Press Conference (2026 Women's Second Round),2026-03-23T01:21:48Z,820,844,18,
2026-03-23T08:54:09+00:00,p6gDdCOsH0g,UCKjEtnnXEHsXE9IvCb92V7g,Texas Postgame Press Conference (2026 Women's Second Round),2026-03-23T01:20:12Z,1572,2006,52,
2026-03-23T08:54:09+00:00,yAMsqxiVWWU,UCKjEtnnXEHsXE9IvCb92V7g,Press Conference: Texas vs. Oregon Postgame (2026 Women's Second Round),2026-02-27T02:48:51Z,4827,1307,11,
2026-03-23T08:54:09+00:00,YS3SNHOhzBk,UCKjEtnnXEHsXE9IvCb92V7g,Madison Booker scores career-high 40 points vs. Oregon in second round,2026-03-23T01:01:23Z,217,320,8,1
2026-03-23T08:54:09+00:00,x9R3e8DlmvU,UCKjEtnnXEHsXE9IvCb92V7g,Southern vs. Samford: 2026 NCAA women's First Four | FULL REPLAY,2026-03-23T01:00:55Z,4936,258,4,0
2026-03-23T08:54:09+00:00,eqQ7wSYhhGg,UCKjEtnnXEHsXE9IvCb92V7g,Tennessee vs. Virginia - Second round NCAA tournament extended highlights,2026-03-23T00:49:39Z,616,25957,330,38
2026-03-23T08:54:09+00:00,UMDt2BMkmao,UCKjEtnnXEHsXE9IvCb92V7g,Texas vs. Oregon – Second round NCAA tournament extended highlights,2026-03-23T00:28:15Z,736,3896,55,1
2026-03-23T08:54:09+00:00,e0btvm_nLB4,UCKjEtnnXEHsXE9IvCb92V7g,Press Conference: Kansas vs. St. John's Postgame (2026 Men's Second Round),2026-03-01T03:08:56Z,2798,2581,31,
2026-03-23T08:54:09+00:00,KBQg85Tben4,UCKjEtnnXEHsXE9IvCb92V7g,Kansas Postgame Press Conference (2026 Men's Second Round),2026-03-23T00:26:52Z,896,7103,77,
2026-03-23T08:54:09+00:00,OWlPCfn7O2c,UCKjEtnnXEHsXE9IvCb92V7g,St. John's Postgame Press Conference (2026 Men's Second Round),2026-03-23T00:10:26Z,1286,9385,154,
