captured_at,video_id,channel_id,title,published_at,duration_seconds,view_count,like_count,comment_count
2026-03-23T08:54:09+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,41533,845,106
2026-03-23T08:54:09+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,10859,239,14
2026-03-23T08:54:39+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,41533,846,106
2026-03-23T08:54:39+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,10859,239,14
2026-03-23T08:55:10+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,41533,846,106
2026-03-23T08:55:10+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,10859,239,14
2026-03-23T08:55:41+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,41533,847,106
2026-03-23T08:55:41+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,10859,239,14
2026-03-23T08:56:12+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,41533,848,106
2026-03-23T08:56:12+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,10859,239,14
2026-03-23T08:56:43+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,41533,848,106
2026-03-23T08:56:43+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,10859,239,14
2026-03-23T08:57:14+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,41533,848,106
2026-03-23T08:57:14+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,10915,239,14
2026-03-23T08:57:44+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,41533,849,106
2026-03-23T08:57:44+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,10915,239,14
2026-03-23T08:58:15+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,42463,849,106
2026-03-23T08:58:15+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,10915,239,14
2026-03-23T08:58:45+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,42496,850,107
2026-03-23T08:58:45+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,10915,239,14
2026-03-23T08:59:16+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,42496,851,107
2026-03-23T08:59:16+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,10915,239,14
2026-03-23T08:59:47+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,42496,852,107
2026-03-23T08:59:47+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,10915,239,14
2026-03-23T09:00:18+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,42496,852,107
2026-03-23T09:00:18+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,10915,239,14
2026-03-23T09:00:49+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,42496,854,107
2026-03-23T09:00:49+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,10915,239,14
2026-03-23T09:01:19+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,42496,855,107
2026-03-23T09:01:19+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,10915,239,14
2026-03-23T09:01:50+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,42496,855,107
2026-03-23T09:01:50+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,10915,239,14
2026-03-23T09:02:21+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,42496,855,107
2026-03-23T09:02:21+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,10965,239,14
2026-03-23T09:02:51+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,42496,856,107
2026-03-23T09:02:51+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,10965,239,14
2026-03-23T09:03:22+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,43084,857,107
2026-03-23T09:03:22+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,10965,239,14
2026-03-23T09:03:53+00:00,JQdsOP3fdek,UCoLrcjPV5PbUrUyXq5mjc_A,FULL 10-RUN INNING for the Los Angeles Dodgers! | MLB Spring Training Highlights,2026-03-23T03:14:43Z,1769,43084,857,107
2026-03-23T09:03:53+00:00,kFTE7C-gTrQ,UCoLrcjPV5PbUrUyXq5mjc_A,Brewers vs. Athletics Spring Breakout Game Highlights (3/22/26) | MLB Highlights,2026-03-23T00:54:48Z,590,10965,239,14
